Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Cedrick Guindon,NO,93,,2004.0,5.10,182,C,Kingston Frontenacs,44,27,37,64,1.45,18,10,9,0,2,4,19,29.7,123.5
Jacob Battaglia,NO,88,,2006.0,6.01,202,LW,Kingston Frontenacs,44,27,35,62,1.41,4,9,11,2,2,22,20,32.3,88.5
Tuomas Uronen,NO,8,,2005.0,6.00,194,RW,Kingston Frontenacs,39,25,35,60,1.54,17,8,16,4,1,19,24,40.0,100.5
Ethan Miedema,NO,15,,2005.0,6.04,212,LW,Kingston Frontenacs,44,16,28,44,1.0,12,2,2,6,0,49,4,9.1,37.0
Joey Willis,NO,14,,2005.0,5.11,185,C,Kingston Frontenacs,33,21,21,42,1.27,5,5,8,3,1,30,13,31.0,48.5
Emil Pieniniemi,NO,7,,2005.0,6.03,177,D,Kingston Frontenacs,39,6,36,42,1.08,3,2,20,2,0,18,22,52.4,51.0
Tyler Hopkins,NO,91,,2007.0,6.01,180,C,Kingston Frontenacs,43,10,24,34,0.79,-2,2,7,2,0,12,9,26.5,42.0
Matthew Soto,NO,92,,2005.0,6.00,185,RW,Kingston Frontenacs,41,16,15,31,0.76,9,3,3,1,2,2,6,19.4,61.5
Quinton Burns,NO,41,,2005.0,6.02,199,D,Kingston Frontenacs,43,7,24,31,0.72,34,1,4,0,0,72,5,16.1,12.0
Gage Heyes,NO,9,,2004.0,6.00,172,RW,Kingston Frontenacs,44,12,15,27,0.61,3,1,0,0,0,36,1,3.7,13.5
Vann Williamson,NO,27,,2006.0,6.01,188,D,Kingston Frontenacs,44,2,18,20,0.45,14,0,2,1,0,16,2,10.0,29.0
Ben Pickell,NO,12,,2005.0,5.09,186,C,Kingston Frontenacs,43,9,10,19,0.44,7,0,0,1,0,34,0,0.0,6.0
Ethan Hay,NO,68,,2005.0,6.01,195,C,Kingston Frontenacs,40,10,7,17,0.43,-16,4,1,0,0,69,5,29.4,-54.5
Maleek McGowan,NO,11,,2005.0,6.00,190,D,Kingston Frontenacs,35,6,10,16,0.46,10,0,0,2,0,22,0,0.0,15.0
Will Bishop,NO,6,,2005.0,6.06,210,RD,Kingston Frontenacs,42,3,11,14,0.33,0,0,0,0,1,26,0,0.0,-3.5
Cal Uens,NO,44,,2005.0,5.09,168,D,Kingston Frontenacs,44,2,10,12,0.27,9,0,0,0,0,36,0,0.0,-8.0
Riley Clark,NO,17,,2006.0,6.01,185,LW,Kingston Frontenacs,38,5,2,7,0.18,-2,0,0,1,0,13,0,0.0,-2.0
Lukas Moore,YES,4,,2007.0,6.02,195,D,Kingston Frontenacs,24,2,2,4,0.17,2,0,0,0,0,6,0,0.0,3.0
Nolan Buttar,YES,22,,2008.0,6.01,181,C,Kingston Frontenacs,37,1,3,4,0.11,-1,0,0,0,0,2,0,0.0,3.5
Adam Kelly,YES,47,,2008.0,5.11,177,C,Kingston Frontenacs,31,2,0,2,0.06,-2,0,0,0,0,2,0,0.0,0.0
Landon Wright,NO,36,,2006.0,5.11,181,C,Kingston Frontenacs,7,0,1,1,0.14,-3,0,1,0,0,2,1,100.0,-3.5
