Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Michael Misa,NO,77,,2007.0,6.01,185,C,Saginaw Spirit,41,39,44,83,2.02,33,10,17,6,1,31,27,32.5,146.0
Zayne Parekh,NO,19,,2006.0,6.00,185,RD,Saginaw Spirit,39,21,38,59,1.51,24,7,19,3,0,61,26,44.1,62.0
Kristian Epperson,NO,86,,2006.0,6.00,185,LW,Saginaw Spirit,39,18,36,54,1.38,35,4,10,2,1,66,14,25.9,59.0
Calem Mangone,NO,7,,2004.0,5.09,165,RW,Saginaw Spirit,41,18,29,47,1.15,14,3,12,1,1,38,15,31.9,55.5
Jacob Cloutier,YES,42,,2007.0,5.10,170,RW,Saginaw Spirit,44,15,20,35,0.8,9,5,1,0,1,33,6,17.1,36.0
Carson Harmer,YES,13,,2007.0,5.10,185,C,Saginaw Spirit,44,17,16,33,0.75,8,5,2,2,1,15,7,21.2,51.0
Dimian Zhilkin,YES,71,,2008.0,5.09,160,RW,Saginaw Spirit,30,7,16,23,0.77,2,1,5,0,0,26,6,26.1,14.0
Nic Sima,NO,92,,2005.0,6.03,195,RW,Saginaw Spirit,39,10,11,21,0.54,-12,3,5,1,1,65,8,38.1,-40.5
Sebastien Gervais,NO,15,,2005.0,6.01,190,C,Saginaw Spirit,35,4,17,21,0.6,-5,0,4,1,0,14,4,19.0,14.5
James Guo,NO,73,,2005.0,6.01,195,RD,Saginaw Spirit,40,4,16,20,0.5,16,0,2,1,0,25,2,10.0,23.0
Kaeden Johnston,NO,20,,2005.0,6.01,175,RW,Saginaw Spirit,41,5,13,18,0.44,-13,0,0,0,0,22,0,0.0,-5.5
PJ Forgione,NO,27,,2004.0,6.02,215,LD,Saginaw Spirit,44,2,12,14,0.32,16,0,0,1,0,42,0,0.0,-4.0
Graydon Jones,YES,9,,2007.0,6.00,175,LD,Saginaw Spirit,42,3,7,10,0.24,0,0,0,0,0,26,0,0.0,-9.5
Josh Glavin,NO,5,,2006.0,6.02,200,LD,Saginaw Spirit,44,0,10,10,0.23,-10,0,0,0,0,76,0,0.0,-71.0
Liam Storch,NO,21,,2006.0,5.10,150,RW,Saginaw Spirit,44,3,4,7,0.16,-8,0,0,1,0,2,0,0.0,2.0
Brody Najim,YES,8,,2008.0,5.10,145,LW,Saginaw Spirit,38,2,3,5,0.13,-5,0,0,0,0,8,0,0.0,-4.5
Xander Velliaris,NO,17,,2007.0,6.03,205,LD,Saginaw Spirit,29,1,4,5,0.17,-6,0,0,0,0,25,0,0.0,-23.0
Ethan Weir,NO,37,,2007.0,5.11,195,RW,Saginaw Spirit,23,0,4,4,0.17,-6,0,1,0,0,0,1,25.0,0.0
Kaden Sienko,YES,23,,2008.0,6.01,185,RD,Saginaw Spirit,16,0,3,3,0.19,4,0,0,0,0,8,0,0.0,0.5
Hayden Barch,YES,6,,2007.0,6.01,190,RD,Saginaw Spirit,7,1,0,1,0.14,-3,0,0,0,0,4,0,0.0,-5.0
