Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Dalyn Wakely,NO,81,,2004.0,6.01,198,C,Barrie Colts,37,19,21,40,1.08,17,6,8,5,1,32,14,35.0,54.5
Riley Patterson,NO,21,,2006.0,6.00 ,194,C,Barrie Colts,43,19,21,40,0.93,20,3,5,2,0,15,8,20.0,74.5
Beau Jelsma,NO,53,,2004.0,5.10,180,C,Barrie Colts,36,16,21,37,1.03,8,5,4,1,2,26,9,24.3,45.5
Tristan Bertucci,NO,12,,2005.0,6.02,187,D,Barrie Colts,45,5,27,32,0.71,19,2,10,1,1,37,12,37.5,32.5
Cole Beaudoin,NO,29,,2006.0,6.02,211,C,Barrie Colts,30,13,18,31,1.03,0,5,6,4,1,2,11,35.5,51.0
Kashawn Aitcheson,NO,77,,2006.0,6.01,198,D,Barrie Colts,42,13,18,31,0.74,12,5,8,3,0,67,13,41.9,-2.0
Owen Van Steensel,NO,19,,2004.0,5.10,185,LW,Barrie Colts,45,13,18,31,0.69,-17,5,5,2,0,30,10,32.3,6.0
Brad Gardiner,NO,25,,2005.0,6.01,185,C,Barrie Colts,43,13,16,29,0.67,9,3,2,3,0,14,5,17.2,45.0
Carter Lowe,NO,85,,2006.0,6.03,215,LW,Barrie Colts,45,13,15,28,0.62,8,1,4,1,1,8,5,17.9,48.5
Emil Hemming,NO,28,,2006.0,6.01,205,RW,Barrie Colts,39,10,17,27,0.69,5,4,5,2,0,16,9,33.3,34.5
Bode Stewart,NO,71,,2006.0,6.01,175,LW,Barrie Colts,42,3,22,25,0.6,12,0,3,0,0,20,3,12.0,31.0
Beau Akey,NO,86,,2005.0,6.00,183,D,Barrie Colts,34,4,19,23,0.68,10,0,8,0,1,24,8,34.8,22.5
Grayson Tiller,NO,8,,2005.0,5.10,193,D,Barrie Colts,44,7,5,12,0.27,-1,0,0,1,0,54,0,0.0,-33.5
Michael Derbidge,NO,91,,2005.0,6.01,199,LW,Barrie Colts,32,5,5,10,0.31,-6,0,0,2,0,22,0,0.0,-10.5
Evan Passmore,NO,88,,2006.0,6.04,210,D,Barrie Colts,40,3,6,9,0.23,10,0,0,0,0,35,0,0.0,-10.0
Jaiden Newton,NO,84,,2007.0,5.11,180,C,Barrie Colts,41,1,8,9,0.22,4,0,0,0,0,27,0,0.0,-9.0
Anthony Romani,NO,15,,2005.0,6.01,190,RW,Barrie Colts,12,5,3,8,0.67,-5,1,2,0,3,2,3,37.5,7.5
Gabriel Eliasson,NO,78,,2006.0,6.07,214,D,Barrie Colts,40,2,3,5,0.13,10,0,0,1,0,82,0,0.0,-63.5
Justin Handsor,YES,16,,2007.0,6.01,196,D,Barrie Colts,31,0,3,3,0.1,-4,0,0,0,0,14,0,0.0,-13.5
Jack Martin,NO,74,,2006.0,5.11,170,RW,Barrie Colts,13,0,1,1,0.08,-1,0,0,0,0,2,0,0.0,-1.5
Cole Dubowsky,YES,27,,2007.0,6.00,184,LW,Barrie Colts,17,0,1,1,0.06,-5,0,0,0,0,35,0,0.0,-38.5
Ethan Armstrong,YES,23,,2007.0,6.02,172,D,Barrie Colts,1,0,0,0,0.0,-1,0,0,0,0,0,0,,-1.0
