Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Porter Martone,NO,94,,2006.0,6.03,208,RW,Brampton Steelheads,35,22,41,63,1.8,12,3,12,2,0,53,15,23.8,64.5
Luke Misa,NO,33,,2005.0,5.10,176,C,Brampton Steelheads,44,25,34,59,1.34,25,4,5,3,1,2,9,15.3,124.0
Carson Rehkopf,NO,16,,2005.0,6.02,202,RW,Brampton Steelheads,35,27,30,57,1.63,16,6,7,0,3,18,13,22.8,97.0
Finn Harding,NO,7,,2005.0,6.01,206,D,Brampton Steelheads,44,5,32,37,0.84,33,0,7,1,0,55,7,18.9,36.0
Vilmer Alriksson,NO,25,,2005.0,6.06,234,LW,Brampton Steelheads,37,13,18,31,0.84,-8,5,7,1,0,20,12,38.7,25.0
Jack Van Volsen,NO,14,,2006.0,6.02,190,C,Brampton Steelheads,43,11,17,28,0.65,-10,4,4,1,0,14,8,28.6,23.5
Angus MacDonell,NO,17,,2005.0,5.10,185,C,Brampton Steelheads,22,15,12,27,1.23,3,5,4,1,1,47,9,33.3,4.0
Adam Zidlicky,NO,91,,2005.0,6.00,170,LW,Brampton Steelheads,31,15,11,26,0.84,10,0,1,2,1,46,1,3.8,10.5
Spencer Sova,NO,22,,2004.0,6.01,190,D,Brampton Steelheads,39,5,20,25,0.64,8,2,7,1,0,22,9,36.0,26.0
Gabriel Chiarot,NO,20,,2006.0,5.11,191,RW,Brampton Steelheads,42,10,9,19,0.45,7,0,0,1,0,47,0,0.0,-6.5
Mason Zebeski,NO,19,,2005.0,6.02,197,LW,Brampton Steelheads,34,8,11,19,0.56,-1,0,1,1,0,41,1,5.3,-9.5
Kieran Witkowski,NO,13,,2007.0,5.11,176,LW,Brampton Steelheads,44,8,11,19,0.43,0,0,0,1,0,14,0,0.0,18.5
Lucas Karmiris,NO,27,,2006.0,5.11,190,C,Brampton Steelheads,25,6,13,19,0.76,7,1,2,1,0,19,3,15.8,19.5
Jakub Fibigr,NO,5,,2006.0,6.00,171,D,Brampton Steelheads,34,3,15,18,0.53,3,1,2,0,0,10,3,16.7,21.5
Parker Von Richter,NO,6,,2006.0,6.01,195,D,Brampton Steelheads,38,6,11,17,0.45,6,3,2,1,0,12,5,29.4,22.5
Konnor Smith,NO,84,,2004.0,6.06,217,D,Brampton Steelheads,16,4,4,8,0.5,0,1,0,1,1,13,1,12.5,1.0
MacGregor Richmond,NO,73,,2006.0,5.09,180,RW,Brampton Steelheads,44,3,5,8,0.18,-11,0,0,1,0,6,0,0.0,-3.5
Reed Gee,NO,8,,2006.0,6.00,185,D,Brampton Steelheads,39,0,7,7,0.18,8,0,0,0,0,69,0,0.0,-50.5
Aidan Lane,YES,11,,2007.0,6.01,193,RW,Brampton Steelheads,6,3,2,5,0.83,3,1,0,0,0,0,1,20.0,12.0
William Eggleton,NO,18,,2006.0,5.11,180,LW,Brampton Steelheads,31,2,3,5,0.16,0,0,0,0,0,15,0,0.0,-6.5
Troy Patton,YES,77,,2008.0,5.10,178,C,Brampton Steelheads,24,2,2,4,0.17,1,0,0,0,0,9,0,0.0,-1.0
Jared Harding,YES,24,,2007.0,5.08,162,D,Brampton Steelheads,14,1,0,1,0.07,-1,0,0,0,0,4,0,0.0,-3.0
Luke Dragusica,NO,23,,2007.0,6.01,178,D,Brampton Steelheads,2,0,0,0,0.0,0,0,0,0,0,4,0,,-4.0
Stevie Leskovar,NO,4,,2004.0,6.03,216,D,Brampton Steelheads,11,0,0,0,0.0,-3,0,0,0,0,20,0,,-23.0
Owen Cartwright,YES,44,,2008.0,6.01,172,D,Brampton Steelheads,20,0,0,0,0.0,3,0,0,0,0,12,0,,-9.0
