Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Ryan Roobroeck,NO,25,,2007.0,6.04,190,LW,Niagara IceDogs,46,32,36,68,1.48,0,9,11,4,4,8,20,29.4,110.0
Kevin He,NO,11,,2006.0,6.00,180,LW,Niagara IceDogs,43,26,29,55,1.28,6,6,8,3,1,20,14,25.5,81.5
Andrei Loshko,NO,27,,2004.0,6.02,184,C,Niagara IceDogs,46,28,25,53,1.15,0,13,6,4,3,19,19,35.8,74.5
Ethan Czata,NO,12,,2007.0,6.01,175,C,Niagara IceDogs,46,18,26,44,0.96,3,4,9,3,1,52,13,29.5,26.0
Braidy Wassilyn,YES,66,,2008.0,5.11,194,C,Niagara IceDogs,40,7,26,33,0.83,-2,4,7,0,0,12,11,33.3,39.0
Jack Brauti,NO,6,,2006.0,6.00,165,D,Niagara IceDogs,42,6,25,31,0.74,0,0,10,2,0,31,10,32.3,18.5
Mike Levin,NO,16,,2005.0,5.08,158,LW,Niagara IceDogs,40,10,18,28,0.7,-3,1,4,1,1,28,5,17.9,16.0
Alex Assadourian,NO,8,,2005.0,5.10,172,C,Niagara IceDogs,24,12,13,25,1.04,12,1,5,2,1,18,6,24.0,37.5
Matthew Virgilio,NO,48,,2006.0,5.11,196,D,Niagara IceDogs,46,4,16,20,0.43,-6,2,8,0,0,44,10,50.0,-18.0
Max Crete,YES,23,,2008.0,5.09,182,C,Niagara IceDogs,46,11,6,17,0.37,-10,2,1,1,1,38,3,17.6,-17.0
Blake Arrowsmith,YES,18,,2007.0,6.01,186,RW,Niagara IceDogs,37,8,9,17,0.46,-1,1,0,1,0,40,1,5.9,-11.5
Sean Doherty,NO,44,,2006.0,6.01,182,RW,Niagara IceDogs,46,7,9,16,0.35,-3,1,2,0,1,10,3,18.8,14.5
Noah Van Vliet,NO,5,,2004.0,6.02,222,D,Niagara IceDogs,46,5,9,14,0.3,12,0,0,2,0,68,0,0.0,-32.5
Ivan Galiyanov,NO,92,,2007.0,5.10,174,LW,Niagara IceDogs,46,6,7,13,0.28,-3,0,0,0,0,14,0,0.0,5.5
Andrew Wycisk,NO,75,,2005.0,5.11,170,D,Niagara IceDogs,40,2,11,13,0.33,-1,0,3,1,0,14,3,23.1,5.5
Mathieu Paris,NO,54,,2005.0,6.00,182,RW,Niagara IceDogs,17,3,8,11,0.65,12,0,4,2,0,2,4,36.4,28.0
Blair Scott,NO,17,,2005.0,6.02,190,D,Niagara IceDogs,46,1,10,11,0.24,12,0,0,0,0,75,0,0.0,-46.0
Callum Cheynowski,NO,7,,2006.0,6.00,197,D,Niagara IceDogs,46,0,8,8,0.17,-13,0,2,0,0,34,2,25.0,-35.0
Rafek Dianov,YES,22,,2007.0,5.10,175,LW,Niagara IceDogs,16,1,0,1,0.06,0,0,0,0,0,2,0,0.0,0.0
Nick Frasca,YES,78,,2008.0,6.01,185,D,Niagara IceDogs,16,0,1,1,0.06,-4,0,0,0,0,6,0,0.0,-8.5
Darcy Dewachter,YES,24,,2007.0,5.11,183,D,Niagara IceDogs,19,0,1,1,0.05,1,0,0,0,0,2,0,0.0,0.5
Charlie Hotles,YES,74,,2008.0,6.02,180,C,Niagara IceDogs,21,0,0,0,0.0,-2,0,0,0,0,6,0,,-8.0
