Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Porter Martone,NO,94,,2006.0,6.03,208,RW,Brampton Steelheads,37,23,43,66,1.78,12,3,13,2,0,55,16,24.2,67.5
Luke Misa,NO,33,,2005.0,5.10,176,C,Brampton Steelheads,46,27,34,61,1.33,27,5,5,3,1,2,10,16.4,130.0
Carson Rehkopf,NO,16,,2005.0,6.02,202,RW,Brampton Steelheads,37,27,32,59,1.59,18,6,7,0,3,18,13,22.0,102.0
Finn Harding,NO,7,,2005.0,6.01,206,D,Brampton Steelheads,46,5,33,38,0.83,33,0,7,1,0,55,7,18.4,37.5
Vilmer Alriksson,NO,25,,2005.0,6.06,234,LW,Brampton Steelheads,39,13,18,31,0.79,-8,5,7,1,0,22,12,38.7,23.0
Jack Van Volsen,NO,14,,2006.0,6.02,190,C,Brampton Steelheads,45,13,17,30,0.67,-10,4,4,1,0,14,8,26.7,27.5
Angus MacDonell,NO,17,,2005.0,5.10,185,C,Brampton Steelheads,24,15,12,27,1.13,0,5,4,1,1,53,9,33.3,-5.0
Adam Zidlicky,NO,91,,2005.0,6.00,170,LW,Brampton Steelheads,33,15,11,26,0.79,7,0,1,2,1,48,1,3.8,5.5
Spencer Sova,NO,22,,2004.0,6.01,190,D,Brampton Steelheads,41,5,21,26,0.63,7,2,8,1,0,22,10,38.5,26.5
Mason Zebeski,NO,19,,2005.0,6.02,197,LW,Brampton Steelheads,36,8,12,20,0.56,-1,0,1,1,0,43,1,5.0,-10.0
Kieran Witkowski,NO,13,,2007.0,5.11,176,LW,Brampton Steelheads,46,8,12,20,0.43,1,0,0,1,0,14,0,0.0,21.0
Lucas Karmiris,NO,27,,2006.0,5.11,190,C,Brampton Steelheads,26,7,13,20,0.77,7,1,2,2,0,24,3,15.0,16.5
Gabriel Chiarot,NO,20,,2006.0,5.11,191,RW,Brampton Steelheads,44,10,9,19,0.43,7,0,0,1,0,49,0,0.0,-8.5
Jakub Fibigr,NO,5,,2006.0,6.00,171,D,Brampton Steelheads,36,4,15,19,0.53,2,2,2,0,0,12,4,21.1,20.5
Parker Von Richter,NO,6,,2006.0,6.01,195,D,Brampton Steelheads,40,6,12,18,0.45,6,3,2,1,0,12,5,27.8,24.0
MacGregor Richmond,NO,73,,2006.0,5.09,180,RW,Brampton Steelheads,46,4,5,9,0.2,-11,0,0,1,0,6,0,0.0,-1.5
Konnor Smith,NO,84,,2004.0,6.06,217,D,Brampton Steelheads,18,4,4,8,0.44,1,1,0,1,1,13,1,12.5,2.0
Reed Gee,NO,8,,2006.0,6.00,185,D,Brampton Steelheads,40,0,7,7,0.18,8,0,0,0,0,74,0,0.0,-55.5
Aidan Lane,YES,11,,2007.0,6.01,193,RW,Brampton Steelheads,6,3,2,5,0.83,3,1,0,0,0,0,1,20.0,12.0
William Eggleton,NO,18,,2006.0,5.11,180,LW,Brampton Steelheads,31,2,3,5,0.16,0,0,0,0,0,15,0,0.0,-6.5
Troy Patton,YES,77,,2008.0,5.10,178,C,Brampton Steelheads,24,2,2,4,0.17,1,0,0,0,0,9,0,0.0,-1.0
Jared Harding,YES,24,,2007.0,5.08,162,D,Brampton Steelheads,14,1,0,1,0.07,-1,0,0,0,0,4,0,0.0,-3.0
Stevie Leskovar,NO,4,,2004.0,6.03,216,D,Brampton Steelheads,13,0,1,1,0.08,-4,0,0,0,0,26,0,0.0,-28.5
Luke Dragusica,NO,23,,2007.0,6.01,178,D,Brampton Steelheads,2,0,0,0,0.0,0,0,0,0,0,4,0,,-4.0
Owen Cartwright,YES,44,,2008.0,6.01,172,D,Brampton Steelheads,20,0,0,0,0.0,3,0,0,0,0,12,0,,-9.0
