Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Nick Lardis,NO,16,,2005.0,5.11,185,RW,Brantford Bulldogs,45,42,31,73,1.62,9,14,13,7,5,16,27,37.0,123.5
Patrick Thomas,NO,93,,2004.0,6.00,178,C,Brantford Bulldogs,47,20,48,68,1.45,7,9,16,6,1,6,25,36.8,113.0
Jake O'Brien,NO,44,,2007.0,6.02,170,C,Brantford Bulldogs,47,25,37,62,1.32,-11,8,21,2,1,10,29,46.8,84.5
Cole Brown,NO,92,,2005.0,6.03,189,RW,Brantford Bulldogs,47,18,25,43,0.91,-5,6,12,2,0,30,18,41.9,38.5
Tomáš Hamara,NO,9,,2004.0,6.00,192,D,Brantford Bulldogs,38,5,29,34,0.89,5,3,15,1,0,29,18,52.9,29.5
Owen Protz,NO,12,,2006.0,6.02,207,D,Brantford Bulldogs,46,5,19,24,0.52,1,0,1,2,0,38,1,4.2,1.5
Calvin Crombie,NO,14,,2005.0,6.00,186,RW,Brantford Bulldogs,39,3,20,23,0.59,-5,0,3,1,0,53,3,13.0,-22.0
Marek Vanacker,NO,78,,2006.0,6.01,170,LW,Brantford Bulldogs,24,10,9,19,0.79,-1,1,3,1,1,22,4,21.1,10.5
Joshua Avery,YES,86,,2007.0,6.01,170,C,Brantford Bulldogs,44,8,11,19,0.43,2,1,0,0,0,10,1,5.3,24.5
Luca Testa,NO,91,,2006.0,6.01,184,C,Brantford Bulldogs,28,6,8,14,0.5,4,1,1,1,0,4,2,14.3,24.0
Thomas Budnick,NO,24,,2004.0,6.01,210,D,Brantford Bulldogs,25,4,10,14,0.56,15,0,0,1,0,31,0,0.0,7.0
Lucas Moore,NO,4,,2005.0,5.10,193,D,Brantford Bulldogs,47,3,11,14,0.3,-4,1,0,0,0,56,1,7.1,-37.5
Aiden O'Donnell,YES,22,,2008.0,6.01,172,LW,Brantford Bulldogs,37,6,7,13,0.35,-4,0,0,1,0,8,0,0.0,10.5
Nikolas Rossetto,YES,19,,2008.0,5.09,156,RW,Brantford Bulldogs,41,5,6,11,0.27,-3,0,0,0,0,2,0,0.0,14.0
Adam Jiricek,NO,5,,2006.0,6.03,180,D,Brantford Bulldogs,15,3,5,8,0.53,6,0,2,0,0,2,2,25.0,17.5
Noah Nelson,NO,11,,2005.0,6.01,183,C,Brantford Bulldogs,42,4,3,7,0.17,-9,0,0,0,0,32,0,0.0,-28.5
Ben Radley,YES,77,,2007.0,6.00,180,D,Brantford Bulldogs,41,1,5,6,0.15,1,0,0,0,0,4,0,0.0,6.5
Dylan Tsherna,NO,18,,2007.0,6.00,177,RW,Brantford Bulldogs,31,1,4,5,0.16,-8,0,0,0,0,16,0,0.0,-16.0
Daniel Chen,NO,27,,2006.0,6.05,196,D,Brantford Bulldogs,34,1,2,3,0.09,-1,0,0,0,0,13,0,0.0,-9.0
Parker Holmes,YES,53,,2007.0,6.04,214,LW,Brantford Bulldogs,21,1,0,1,0.05,-8,0,0,0,0,14,0,0.0,-20.0
Layne Gallacher,YES,29,,2008.0,6.01,165,C,Brantford Bulldogs,1,0,0,0,0.0,0,0,0,0,0,0,0,,0.0
Tommy Karmiris,NO,74,,2006.0,6.00,185,LW,Brantford Bulldogs,3,0,0,0,0.0,0,0,0,0,0,2,0,,-2.0
Niko Krmpotic,YES,10,,2007.0,6.01,191,D,Brantford Bulldogs,26,0,0,0,0.0,-7,0,0,0,0,9,0,,-16.0
