Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Sam McCue,NO,12,,2005.0,6.02,191,LW,Flint Firebirds,42,25,17,42,1.0,5,6,3,1,0,37,9,21.4,43.5
Christopher Thibodeau,NO,9,,2005.0,5.10,158,RW,Flint Firebirds,40,15,21,36,0.9,11,3,8,2,2,19,11,30.6,53.5
Kaden Pitre,NO,17,,2006.0,6.00,185,C,Flint Firebirds,41,15,18,33,0.8,-4,1,3,3,0,38,4,12.1,15.0
Nathan Aspinall,NO,76,,2006.0,6.07,195,LW,Flint Firebirds,42,13,18,31,0.74,-6,4,5,2,1,28,9,29.0,19.0
Matthew Mania,NO,19,,2005.0,6.01,190,D,Flint Firebirds,46,5,25,30,0.65,5,2,7,0,0,40,9,30.0,12.5
Alex Kostov,NO,47,,2006.0,6.04,195,RW,Flint Firebirds,46,8,20,28,0.61,1,0,3,1,1,48,3,10.7,-1.0
Evan Konyen,NO,91,,2004.0,6.00,180,RW,Flint Firebirds,46,10,17,27,0.59,-12,1,3,0,0,33,4,14.8,0.5
Connor Clattenburg,NO,23,,2005.0,6.02,205,LW,Flint Firebirds,33,13,12,25,0.76,-3,4,2,3,1,79,6,24.0,-38.0
Jimmy Lombardi,NO,10,,2007.0,6.00,178,C,Flint Firebirds,42,6,18,24,0.57,-3,1,4,0,0,21,5,20.8,15.0
Blake Smith,NO,5,,2004.0,6.05,225,D,Flint Firebirds,44,9,14,23,0.52,6,2,2,1,0,34,4,17.4,11.0
Matthew Wang,NO,28,,2005.0,6.02,202,LW,Flint Firebirds,46,13,9,22,0.48,8,1,0,2,0,45,1,4.5,2.5
Nolan Collins,NO,77,,2004.0,6.04,215,D,Flint Firebirds,36,4,13,17,0.47,8,1,6,1,0,52,7,41.2,-16.5
Urban Podrekar,NO,98,,2005.0,6.00,194,D,Flint Firebirds,43,5,11,16,0.37,-1,2,2,1,0,23,4,25.0,2.5
Jeremy Martin,NO,15,,2007.0,6.01,195,LW,Flint Firebirds,45,6,5,11,0.24,-8,0,0,0,0,14,0,0.0,-2.5
Hayden Reid,NO,18,,2006.0,6.0,181,C,Flint Firebirds,30,6,4,10,0.33,3,1,0,0,0,18,1,10.0,3.0
Artem Frolov,NO,26,,2007.0,6.01,193,D,Flint Firebirds,44,2,8,10,0.23,-1,0,0,0,0,12,0,0.0,3.0
Karlis Flugins,YES,21,,2007.0,5.11,185,C,Flint Firebirds,32,3,6,9,0.28,6,0,0,1,0,0,0,0.0,21.0
Rylan Fellinger,NO,65,,2007.0,6.04,200,D,Flint Firebirds,42,2,3,5,0.12,1,0,0,0,1,12,0,0.0,-2.5
Josh Colosimo,NO,13,,2006.0,6.02,185,C,Flint Firebirds,23,1,4,5,0.22,5,0,0,0,0,28,0,0.0,-15.0
Jack D'Arcy,YES,25,,2007.0,5.10,162,D,Flint Firebirds,25,1,3,4,0.16,-2,0,0,0,0,14,0,0.0,-9.5
Max Anderson,NO,22,,2007.0,5.10,160,C,Flint Firebirds,30,1,2,3,0.1,3,0,0,0,0,20,0,0.0,-12.0
Christian Colosimo,YES,73,,2008.0,6.05,215,D,Flint Firebirds,4,0,0,0,0.0,-1,0,0,0,0,2,0,,-3.0
