Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Jacob Battaglia,NO,88,,2006.0,6.01,202,LW,Kingston Frontenacs,46,29,38,67,1.46,5,9,12,2,2,22,21,31.3,98.0
Cedrick Guindon,NO,93,,2004.0,5.10,182,C,Kingston Frontenacs,46,28,39,67,1.46,20,10,11,0,2,4,21,31.3,130.5
Tuomas Uronen,NO,8,,2005.0,6.00,194,RW,Kingston Frontenacs,41,26,39,65,1.59,19,8,17,4,1,21,25,38.5,108.5
Ethan Miedema,NO,15,,2005.0,6.04,212,LW,Kingston Frontenacs,46,18,30,48,1.04,13,4,2,6,0,51,6,12.5,43.0
Emil Pieniniemi,NO,7,,2005.0,6.03,177,D,Kingston Frontenacs,41,6,38,44,1.07,4,2,20,2,0,18,22,50.0,55.0
Joey Willis,NO,14,,2005.0,5.11,185,C,Kingston Frontenacs,35,21,21,42,1.2,5,5,8,3,1,34,13,31.0,44.5
Tyler Hopkins,NO,91,,2007.0,6.01,180,C,Kingston Frontenacs,45,15,26,41,0.91,0,3,8,4,0,12,11,26.8,57.0
Quinton Burns,NO,41,,2005.0,6.02,199,D,Kingston Frontenacs,45,8,27,35,0.78,35,2,5,0,0,80,7,20.0,11.5
Gage Heyes,NO,9,,2004.0,6.00,172,RW,Kingston Frontenacs,46,13,18,31,0.67,6,1,2,0,0,40,3,9.7,19.0
Matthew Soto,NO,92,,2005.0,6.00,185,RW,Kingston Frontenacs,42,16,14,30,0.71,7,3,3,1,2,2,6,20.0,58.0
Maleek McGowan,NO,11,,2005.0,6.00,190,D,Kingston Frontenacs,37,6,14,20,0.54,16,0,0,2,0,22,0,0.0,27.0
Vann Williamson,NO,27,,2006.0,6.01,188,D,Kingston Frontenacs,46,2,18,20,0.43,12,0,2,1,0,18,2,10.0,25.0
Ethan Hay,NO,68,,2005.0,6.01,195,C,Kingston Frontenacs,42,11,8,19,0.45,-14,4,1,0,0,84,5,26.3,-64.0
Ben Pickell,NO,12,,2005.0,5.09,186,C,Kingston Frontenacs,43,9,10,19,0.44,7,0,0,1,0,34,0,0.0,6.0
Cal Uens,NO,44,,2005.0,5.09,168,D,Kingston Frontenacs,46,4,15,19,0.41,14,0,1,0,0,38,1,5.3,6.5
Will Bishop,NO,6,,2005.0,6.06,210,RD,Kingston Frontenacs,44,3,11,14,0.32,-1,0,0,0,1,26,0,0.0,-4.5
Riley Clark,NO,17,,2006.0,6.01,185,LW,Kingston Frontenacs,40,5,2,7,0.18,-2,0,0,1,0,13,0,0.0,-2.0
Lukas Moore,YES,4,,2007.0,6.02,195,D,Kingston Frontenacs,24,2,2,4,0.17,2,0,0,0,0,6,0,0.0,3.0
Nolan Buttar,YES,22,,2008.0,6.01,181,C,Kingston Frontenacs,39,1,3,4,0.1,-1,0,0,0,0,2,0,0.0,3.5
Adam Kelly,YES,47,,2008.0,5.11,177,C,Kingston Frontenacs,31,2,0,2,0.06,-2,0,0,0,0,2,0,0.0,0.0
Landon Wright,NO,36,,2006.0,5.11,181,C,Kingston Frontenacs,9,0,1,1,0.11,-2,0,1,0,0,2,1,100.0,-2.5
