Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Adrian Misaljevic,NO,10,,2004.0,5.11,175,RW,Kitchener Rangers,47,23,25,48,1.02,8,8,13,6,2,8,21,43.8,83.5
Trent Swick,NO,57,,2004.0,6.06,208,LW,Kitchener Rangers,42,19,25,44,1.05,-3,6,6,3,2,32,12,27.3,40.5
Cameron Reid,NO,18,,2007.0,6.00,175,LD,Kitchener Rangers,47,9,30,39,0.83,21,1,18,2,0,25,19,48.7,59.0
Luca Romano,NO,86,,2007.0,5.11,168,C,Kitchener Rangers,46,17,19,36,0.78,4,6,8,2,0,14,14,38.9,52.5
Tanner Lam,NO,37,,2007.0,5.08,140,RW,Kitchener Rangers,46,9,26,35,0.76,13,2,5,1,0,10,7,20.0,60.0
Luke Ellinas,NO,19,,2006.0,6.01,186,C,Kitchener Rangers,41,18,14,32,0.78,10,6,2,4,1,36,8,25.0,31.0
Jack Pridham,NO,24,,2005.0,6.02,185,RW,Kitchener Rangers,28,16,14,30,1.07,3,7,5,5,1,24,12,40.0,32.0
Andrew Vermeulen,NO,27,,2006.0,6.02,200,LW,Kitchener Rangers,44,8,15,23,0.52,16,1,2,0,1,20,3,13.0,34.5
Jakub Chromiak,NO,3,,2005.0,5.11,183,RD,Kitchener Rangers,34,3,18,21,0.62,12,2,8,0,0,14,10,47.6,31.0
Carson Campbell,NO,8,,2006.0,6.01,180,RD,Kitchener Rangers,45,1,19,20,0.44,17,0,0,0,0,22,0,0.0,25.5
Chris Grisolia,NO,85,,2005.0,6.00,187,LW,Kitchener Rangers,41,8,7,15,0.37,12,0,0,0,3,16,0,0.0,22.5
Matthew Andonovski,NO,5,,2005.0,6.02,200,LD,Kitchener Rangers,47,4,9,13,0.28,0,0,3,2,0,98,3,23.1,-76.5
Cameron Mercer,NO,14,,2005.0,6.00,180,C,Kitchener Rangers,43,6,6,12,0.28,13,0,0,1,0,26,0,0.0,8.0
Alexander Bilecki,YES,89,,2008.0,6.01,155,LD,Kitchener Rangers,33,2,6,8,0.24,2,0,1,0,0,17,1,12.5,-2.0
Max Dirracolo,NO,25,,2006.0,6.04,216,LD,Kitchener Rangers,45,3,4,7,0.16,6,0,1,1,0,54,1,14.3,-36.0
Christian Humphreys,NO,48,,2006.0,5.11,170,RW,Kitchener Rangers,9,2,5,7,0.78,-6,1,4,0,0,2,5,71.4,3.5
Cameron Arquette,YES,11,,2007.0,5.08,170,RW,Kitchener Rangers,32,3,3,6,0.19,-1,0,0,0,0,9,0,0.0,0.5
Jack LaBrash,YES,93,,2007.0,6.05,196,C,Kitchener Rangers,29,2,4,6,0.21,3,0,0,0,0,9,0,0.0,4.0
Matthew Hlacar,NO,61,,2006.0,6.03,205,LW,Kitchener Rangers,31,4,0,4,0.13,3,0,0,1,0,38,0,0.0,-27.0
Matheas Stark,NO,28,,2007.0,6.00,161,LW,Kitchener Rangers,11,2,2,4,0.36,-8,0,1,0,0,0,1,25.0,-1.0
Haeden Ellis,NO,13,,2007.0,5.10,161,C,Kitchener Rangers,20,2,2,4,0.2,2,0,0,0,0,2,0,0.0,7.0
Evan Headrick,YES,81,,2008.0,5.07,150,RW,Kitchener Rangers,9,2,1,3,0.33,2,0,1,1,0,0,1,33.3,7.5
Andrew MacNiel,YES,43,,2007.0,6.02,170,RD,Kitchener Rangers,20,0,2,2,0.1,2,0,0,0,0,11,0,0.0,-6.0
