Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Michael Misa,NO,77,,2007.0,6.01,185,C,Saginaw Spirit,40,38,43,81,2.03,32,9,16,6,1,27,25,30.9,145.5
Liam Greentree,NO,66,,2006.0,6.03,216,LW,Windsor Spitfires,44,32,44,76,1.73,35,8,15,5,7,30,23,30.3,135.0
Nick Lardis,NO,16,,2005.0,5.11,185,RW,Brantford Bulldogs,44,41,31,72,1.64,9,14,13,7,5,16,27,37.5,121.5
Ilya Protas,NO,37,,2006.0,6.05,200,C,Windsor Spitfires,40,30,41,71,1.78,34,8,13,4,1,20,21,29.6,135.5
Kieron Walton,NO,22,,2006.0,6.06,216,LW,Sudbury Wolves,43,27,43,70,1.63,5,11,21,6,1,30,32,45.7,93.5
Beckett Sennecke,NO,45,,2006.0,6.04,195,RW,Oshawa Generals,38,29,39,68,1.79,18,10,18,2,0,38,28,41.2,96.5
Patrick Thomas,NO,93,,2004.0,6.00,178,C,Brantford Bulldogs,46,20,47,67,1.46,7,9,16,6,1,6,25,37.3,111.5
Ryan Roobroeck,NO,25,,2007.0,6.04,190,LW,Niagara IceDogs,45,31,34,65,1.44,0,8,10,4,4,8,18,27.7,105.0
Cedrick Guindon,NO,93,,2004.0,5.10,182,C,Kingston Frontenacs,44,27,37,64,1.45,18,10,9,0,2,4,19,29.7,123.5
Porter Martone,NO,94,,2006.0,6.03,208,RW,Brampton Steelheads,34,22,41,63,1.85,14,3,12,2,0,53,15,23.8,66.5
Jacob Battaglia,NO,88,,2006.0,6.01,202,LW,Kingston Frontenacs,44,27,35,62,1.41,4,9,11,2,2,22,20,32.3,88.5
Jake O'Brien,NO,44,,2007.0,6.02,170,C,Brantford Bulldogs,46,25,36,61,1.33,-13,8,21,2,1,10,29,47.5,81.0
Tuomas Uronen,NO,8,,2005.0,6.00,194,RW,Kingston Frontenacs,39,25,35,60,1.54,17,8,16,4,1,19,24,40.0,100.5
Henry Mews,NO,88,,2006.0,6.01,183,D,Sudbury Wolves,44,12,47,59,1.34,-9,5,26,1,0,54,31,52.5,31.5
Luke Misa,NO,33,,2005.0,5.10,176,C,Brampton Steelheads,43,25,33,58,1.35,25,4,5,3,1,2,9,15.5,122.5
Denver Barkey,NO,86,,2005.0,5.10,171,LW,London Knights,37,16,42,58,1.57,32,7,17,0,1,16,24,41.4,111.0
Luca Marrelli,NO,19,,2005.0,6.02,184,D,Oshawa Generals,45,16,41,57,1.27,20,4,20,4,0,17,24,42.1,96.5
Carson Rehkopf,NO,16,,2005.0,6.02,202,RW,Brampton Steelheads,34,26,30,56,1.65,17,6,7,0,3,18,13,23.2,96.0
Kevin He,NO,11,,2006.0,6.00,180,LW,Niagara IceDogs,43,26,29,55,1.28,6,6,8,3,1,20,14,25.5,81.5
Sam Dickinson,NO,3,,2006.0,6.03,210,D,London Knights,33,19,36,55,1.67,31,10,11,4,0,18,21,38.2,105.0
Zayne Parekh,NO,19,,2006.0,6.00,185,RD,Saginaw Spirit,38,18,37,55,1.45,22,5,18,3,0,59,23,41.8,54.5
Sam Alfano,NO,33,,2004.0,6.04,204,RW,Erie Otters,42,28,26,54,1.29,13,8,3,2,1,35,11,20.4,73.0
Kristian Epperson,NO,86,,2006.0,6.00,185,LW,Saginaw Spirit,38,18,36,54,1.42,35,4,10,2,1,66,14,25.9,59.0
Pano Fimis,NO,98,,2004.0,5.11,183,C,Erie Otters,42,17,36,53,1.26,18,3,13,2,1,22,16,30.2,84.0
Andrei Loshko,NO,27,,2004.0,6.02,184,C,Niagara IceDogs,45,27,24,51,1.13,1,12,6,4,3,19,18,35.3,72.0
Kocha Delic,NO,13,,2004.0,5.11,198,C,Sudbury Wolves,41,20,30,50,1.22,-7,5,16,3,1,56,21,42.0,22.0
Malcolm Spence,NO,17,,2006.0,6.02,201,LW,Erie Otters,41,19,29,48,1.17,13,4,5,5,1,26,9,18.8,68.5
