Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Sam Dickinson,NO,3,,2006.0,6.03,210,D,London Knights,34,20,38,58,1.71,34,10,11,4,0,18,21,36.2,113.0
Denver Barkey,NO,86,,2005.0,5.10,171,LW,London Knights,37,16,42,58,1.57,32,7,17,0,1,16,24,41.4,111.0
Sam O'Reilly,NO,23,,2006.0,6.01,190,C,London Knights,43,18,26,44,1.02,36,4,8,4,0,18,12,27.3,93.0
Cam Allen,NO,17,,2005.0,6.00,197,D,London Knights,41,11,31,42,1.02,15,3,6,1,0,45,9,21.4,38.5
Blake Montgomery,NO,47,,2005.0,6.04,195,LW,London Knights,29,19,19,38,1.31,29,1,4,3,0,4,5,13.2,91.5
William Nicholl,NO,73,,2006.0,6.00,184,C,London Knights,43,12,26,38,0.88,22,2,2,1,0,16,4,10.5,69.0
Easton Cowan,NO,7,,2005.0,6.00,185,RW,London Knights,26,17,19,36,1.38,12,5,8,4,2,24,13,36.1,50.5
Jacob Julien,NO,13,,2004.0,6.04,190,C,London Knights,45,8,24,32,0.71,3,3,7,4,0,34,10,31.2,21.0
Landon Sim,NO,90,,2004.0,5.11,185,LW,London Knights,35,20,11,31,0.89,17,5,1,2,1,70,6,19.4,3.5
Evan Van Gorp,NO,14,,2006.0,5.10,165,LW,London Knights,44,14,17,31,0.7,14,2,3,4,2,8,5,16.1,59.5
Henry Brzustewicz,NO,2,,2007.0,6.01,194,D,London Knights,44,8,21,29,0.66,14,2,9,1,0,64,11,37.9,-2.5
Oliver Bonk,NO,59,,2005.0,6.02,210,D,London Knights,32,8,20,28,0.88,21,2,10,1,0,20,12,42.9,47.0
Jesse Nurmi,NO,44,,2005.0,6.00,180,LW,London Knights,36,6,13,19,0.53,6,0,3,0,0,10,3,15.8,27.5
Jared Woolley,NO,51,,2006.0,6.05,207,D,London Knights,45,5,14,19,0.42,38,1,1,0,0,57,2,10.5,12.0
Kasper Halttunen,NO,12,,2005.0,6.03,207,RW,London Knights,17,5,11,16,0.94,8,2,3,2,0,17,5,31.2,17.5
Noah Read,YES,92,,2007.0,6.00,170,C,London Knights,28,5,10,15,0.54,5,0,2,0,0,14,2,13.3,16.0
Rene Van Bommel,NO,55,,2006.0,5.11,185,LW,London Knights,37,3,10,13,0.35,10,0,0,0,0,50,0,0.0,-19.0
Noah Aboflan,NO,74,,2005.0,6.00,192,LW,London Knights,31,4,4,8,0.26,6,0,1,0,0,33,1,12.5,-13.0
Andoni Fimis,NO,4,,2006.0,6.01,185,D,London Knights,17,1,4,5,0.29,7,0,0,1,0,0,0,0.0,15.0
PJ Fagan II,YES,67,,2007.0,6.01,205,D,London Knights,31,2,2,4,0.13,-1,0,0,1,0,24,0,0.0,-18.0
Ryder Boulton,NO,11,,2006.0,5.10,194,LW,London Knights,23,1,2,3,0.13,6,0,0,0,0,61,0,0.0,-50.0
Liam Spencer,NO,49,,2006.0,6.05,220,D,London Knights,24,0,1,1,0.04,2,0,0,0,0,19,0,0.0,-15.5
