Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Ryan Roobroeck,NO,25,,2007.0,6.04,190,LW,Niagara IceDogs,47,33,37,70,1.49,-2,10,11,4,4,8,21,30.0,111.5
Andrei Loshko,NO,27,,2004.0,6.02,184,C,Niagara IceDogs,47,28,28,56,1.19,0,13,8,4,3,19,21,37.5,79.0
Kevin He,NO,11,,2006.0,6.00,180,LW,Niagara IceDogs,43,26,29,55,1.28,6,6,8,3,1,20,14,25.5,81.5
Ethan Czata,NO,12,,2007.0,6.01,175,C,Niagara IceDogs,47,18,28,46,0.98,2,4,10,3,1,54,14,30.4,26.0
Braidy Wassilyn,YES,66,,2008.0,5.11,194,C,Niagara IceDogs,41,7,27,34,0.83,-2,4,8,0,0,12,12,35.3,40.5
Jack Brauti,NO,6,,2006.0,6.00,165,D,Niagara IceDogs,43,6,26,32,0.74,-2,0,11,2,0,31,11,34.4,18.0
Mike Levin,NO,16,,2005.0,5.08,158,LW,Niagara IceDogs,41,10,19,29,0.71,-3,1,5,1,1,28,6,20.7,17.5
Alex Assadourian,NO,8,,2005.0,5.10,172,C,Niagara IceDogs,24,12,13,25,1.04,12,1,5,2,1,18,6,24.0,37.5
Matthew Virgilio,NO,48,,2006.0,5.11,196,D,Niagara IceDogs,47,4,16,20,0.43,-9,2,8,0,0,44,10,50.0,-21.0
Sean Doherty,NO,44,,2006.0,6.01,182,RW,Niagara IceDogs,47,10,9,19,0.4,-5,3,2,0,1,10,5,26.3,18.5
Max Crete,YES,23,,2008.0,5.09,182,C,Niagara IceDogs,47,11,7,18,0.38,-11,2,1,1,1,38,3,16.7,-16.5
Blake Arrowsmith,YES,18,,2007.0,6.01,186,RW,Niagara IceDogs,38,9,9,18,0.47,-1,1,0,1,0,40,1,5.6,-9.5
Ivan Galiyanov,NO,92,,2007.0,5.10,174,LW,Niagara IceDogs,47,6,8,14,0.3,-5,0,0,0,0,14,0,0.0,5.0
Noah Van Vliet,NO,5,,2004.0,6.02,222,D,Niagara IceDogs,47,5,9,14,0.3,14,0,0,2,0,70,0,0.0,-32.5
Andrew Wycisk,NO,75,,2005.0,5.11,170,D,Niagara IceDogs,41,3,11,14,0.34,-1,0,3,1,0,14,3,21.4,7.5
Mathieu Paris,NO,54,,2005.0,6.00,182,RW,Niagara IceDogs,17,3,8,11,0.65,12,0,4,2,0,2,4,36.4,28.0
Blair Scott,NO,17,,2005.0,6.02,190,D,Niagara IceDogs,47,1,10,11,0.23,13,0,0,0,0,80,0,0.0,-50.0
Callum Cheynowski,NO,7,,2006.0,6.00,197,D,Niagara IceDogs,47,0,8,8,0.17,-16,0,2,0,0,34,2,25.0,-38.0
Rafek Dianov,YES,22,,2007.0,5.10,175,LW,Niagara IceDogs,17,1,0,1,0.06,-1,0,0,0,0,2,0,0.0,-1.0
Nick Frasca,YES,78,,2008.0,6.01,185,D,Niagara IceDogs,16,0,1,1,0.06,-4,0,0,0,0,6,0,0.0,-8.5
Darcy Dewachter,YES,24,,2007.0,5.11,183,D,Niagara IceDogs,20,0,1,1,0.05,2,0,0,0,0,4,0,0.0,-0.5
Charlie Hotles,YES,74,,2008.0,6.02,180,C,Niagara IceDogs,22,0,0,0,0.0,-2,0,0,0,0,6,0,,-8.0
