Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Beckett Sennecke,NO,45,,2006.0,6.04,195,RW,Oshawa Generals,39,29,39,68,1.74,16,10,18,2,0,38,28,41.2,94.5
Luca Marrelli,NO,19,,2005.0,6.02,184,D,Oshawa Generals,46,16,41,57,1.24,17,4,20,4,0,17,24,42.1,93.5
Calum Ritchie,NO,21,,2005.0,6.02,189,C,Oshawa Generals,26,11,37,48,1.85,21,2,14,5,0,36,16,33.3,62.5
Colby Barlow,NO,39,,2005.0,6.01,193,LW,Oshawa Generals,43,27,18,45,1.05,0,13,5,1,0,33,18,40.0,48.0
Luke Torrance,NO,17,,2004.0,6.01,199,LW,Oshawa Generals,43,16,26,42,0.98,17,7,11,1,0,19,18,42.9,69.0
Matthew Buckley,NO,11,,2005.0,5.11,183,RW,Oshawa Generals,46,12,19,31,0.67,3,5,2,0,0,23,7,22.6,32.5
Owen Griffin,NO,96,,2007.0,5.10,160,C,Oshawa Generals,41,8,19,27,0.66,-9,1,8,2,0,25,9,33.3,10.5
Lauri Sinivuori,NO,42,,2006.0,6.01,178,LW,Oshawa Generals,46,11,14,25,0.54,9,0,3,4,1,31,3,12.0,21.0
Luca D'Amato,NO,4,,2004.0,5.09,160,D,Oshawa Generals,46,4,18,22,0.48,-1,0,6,0,1,25,6,27.3,9.0
Zackary Sandhu,NO,72,,2005.0,6.02,195,D,Oshawa Generals,43,6,11,17,0.4,8,0,0,0,1,78,0,0.0,-41.5
Ben Danford,NO,77,,2006.0,6.02,195,D,Oshawa Generals,42,4,13,17,0.4,1,0,2,2,0,42,2,11.8,-13.5
Ethan Toms,NO,61,,2006.0,5.11,179,C,Oshawa Generals,43,8,6,14,0.33,-7,0,0,0,0,22,0,0.0,-4.0
Brooks Rogowski,YES,10,,2008.0,6.06,214,RW,Oshawa Generals,45,5,9,14,0.31,-6,1,0,0,0,2,1,7.1,15.5
Andrew Gibson,NO,92,,2005.0,6.03.,210,D,Oshawa Generals,33,5,6,11,0.33,7,0,1,3,0,40,1,9.1,-14.0
David Svozil,NO,29,,2006.0,6.02,177,D,Oshawa Generals,36,1,9,10,0.28,5,0,0,0,0,10,0,0.0,10.5
Ethan Martin,NO,14,,2005.0,6.06,222,LW,Oshawa Generals,36,5,4,9,0.25,1,0,0,1,0,54,0,0.0,-37.0
Harrison Franssen,NO,12,,2006.0,6.03,192,C,Oshawa Generals,42,4,3,7,0.17,-6,0,0,0,0,49,0,0.0,-42.5
Noah Powell,NO,15,,2005.0,6.02,201,RW,Oshawa Generals,7,2,4,6,0.86,6,1,1,0,0,2,2,33.3,14.0
Tyler O'Toole,NO,23,,2006.0,6.01,195,RW,Oshawa Generals,25,2,0,2,0.08,-3,0,0,0,0,56,0,0.0,-55.0
Anthony Figliomeni,NO,8,,2008.0,5.11,195,RW,Oshawa Generals,3,1,1,2,0.67,0,0,0,0,0,4,0,0.0,-0.5
Simon Wang,YES,7,,2007.0,6.06,210,D,Oshawa Generals,10,0,0,0,0.0,-5,0,0,0,0,0,0,,-5.0
