Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Luca Pinelli,NO,20,,2005.0,5.09,169,LW,Ottawa 67's,33,26,18,44,1.33,-8,14,9,1,1,36,23,52.3,35.0
Cooper Foster,NO,29,,2005.0,6.00,187,C,Ottawa 67's,40,15,24,39,0.98,-8,4,11,1,2,46,15,38.5,12.0
Will Gerrior,NO,23,,2004.0,5.10,179,LW,Ottawa 67's,40,22,7,29,0.73,1,8,3,3,0,12,11,37.9,43.5
Matthew Mayich,NO,22,,2004.0,6.02,197,D,Ottawa 67's,43,4,25,29,0.67,-12,1,5,0,0,44,6,20.7,-10.5
Jack Dever,NO,18,,2005.0,5.10,181,C,Ottawa 67's,39,5,21,26,0.67,-3,1,6,0,0,8,7,26.9,30.5
Nic Whitehead,NO,10,,2007.0,5.10,159,C,Ottawa 67's,45,6,18,24,0.53,-5,0,7,1,0,12,7,29.2,22.0
Filip Ekberg,YES,34,,2007.0,5.10,166,C,Ottawa 67's,32,9,12,21,0.66,-3,5,8,1,0,2,13,61.9,31.0
Chris Barlas,NO,9,,2005.0,5.10,182,LW,Ottawa 67's,44,6,15,21,0.48,-15,2,1,0,0,31,3,14.3,-11.5
Kohyn Eshkawkogan,YES,19,,2008.0,5.10,164,D,Ottawa 67's,40,2,12,14,0.35,-4,1,4,0,0,26,5,35.7,-8.0
Caden Kelly,NO,28,,2006.0,5.11,197,RW,Ottawa 67's,42,9,3,12,0.29,-9,0,0,1,1,33,0,0.0,-19.5
Frankie Marrelli,NO,8,,2006.0,5.11,187,D,Ottawa 67's,40,2,10,12,0.3,-17,0,2,1,0,42,2,16.7,-40.0
Nolan Jackson,YES,27,,2007.0,6.01,180,D,Ottawa 67's,42,0,7,7,0.17,1,0,0,0,0,15,0,0.0,-3.5
Chase Yanni,YES,16,,2007.0,5.11,183,LW,Ottawa 67's,41,4,2,6,0.15,-17,0,0,1,0,32,0,0.0,-38.0
Nathan Amidovski,YES,26,,2008.0,6.02,171,LW,Ottawa 67's,38,3,3,6,0.16,-10,0,0,0,0,10,0,0.0,-9.5
Bradley Horner,NO,5,,2005.0,6.00,195,RW,Ottawa 67's,36,0,5,5,0.14,-2,0,0,0,0,32,0,0.0,-26.5
Josh Brady,NO,3,,2006.0,6.01,185,D,Ottawa 67's,45,3,1,4,0.09,-24,0,0,2,0,12,0,0.0,-28.5
Zach Houben,YES,25,,2007.0,6.05,207,LW,Ottawa 67's,35,3,0,3,0.09,-14,0,0,0,0,23,0,0.0,-31.0
Matthew Souliere,NO,13,,2006.0,6.03,190,LW,Ottawa 67's,3,1,0,1,0.33,0,0,0,0,0,0,0,0.0,2.0
Shaan Kingwell,YES,12,,2007.0,5.11,168,LW,Ottawa 67's,6,1,0,1,0.17,2,0,0,0,0,0,0,0.0,4.0
Kimi Körbler,NO,24,,2006.0,5.11,166,RW,Ottawa 67's,27,0,1,1,0.04,-11,0,0,0,0,2,0,0.0,-11.5
Kaleb Dietsch,YES,4,,2007.0,6.03,191,D,Ottawa 67's,38,0,1,1,0.03,-10,0,0,0,0,11,0,0.0,-19.5
Spencer Bowes,YES,11,,2007.0,5.11,160,C,Ottawa 67's,3,0,0,0,0.0,-1,0,0,0,0,0,0,,-1.0
Theo Avila,YES,6,,2007.0,5.11,176,D,Ottawa 67's,4,0,0,0,0.0,0,0,0,0,0,0,0,,0.0
