Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Landen Hookey,NO,10,,2004.0,6.05,222,RW,Owen Sound Attack,46,19,25,44,0.96,-5,6,10,3,1,49,16,36.4,21.5
Pierce Mbuyi,YES,21,,2008.0,5.10,153,LW,Owen Sound Attack,41,16,10,26,0.63,-4,7,2,1,0,28,9,34.6,15.0
James Petrovski,NO,28,,2005.0,6.03,190,LD,Owen Sound Attack,46,0,24,24,0.52,-10,0,14,0,0,78,14,58.3,-52.0
Tristan Delisle,NO,40,,2007.0,5.11,172,C,Owen Sound Attack,43,7,16,23,0.53,-6,1,4,2,0,45,5,21.7,-13.0
Bruce McDonald,NO,29,,2004.0,6.00,177,C,Owen Sound Attack,45,6,15,21,0.47,-14,0,6,1,1,8,6,28.6,12.5
Cole Zurawski,YES,17,,2008.0,6.00,181,RW,Owen Sound Attack,40,9,10,19,0.48,5,0,0,1,0,11,0,0.0,27.0
Braedyn Rogers,NO,2,,2006.0,6.00,180,RD,Owen Sound Attack,46,5,13,18,0.39,-10,2,4,0,0,25,6,33.3,-5.5
Ben Cormier,NO,8,,2006.0,6.00,172,C,Owen Sound Attack,42,10,7,17,0.4,-6,2,2,0,1,16,4,23.5,8.5
Declan Waddick,NO,27,,2005.0,5.09,165,LW,Owen Sound Attack,39,7,10,17,0.44,-11,1,3,0,0,28,4,23.5,-10.0
Jake Crawford,NO,16,,2007.0,6.03,180,C,Owen Sound Attack,44,7,10,17,0.39,-11,1,0,0,0,14,1,5.9,4.0
Harry Nansi,NO,34,,2007.0,6.03,179,RW,Owen Sound Attack,45,5,11,16,0.36,-5,0,2,2,0,10,2,12.5,11.5
Antonio Tersigni,NO,37,,2006.0,5.11,172,LW,Owen Sound Attack,35,10,4,14,0.4,-8,0,2,0,0,26,2,14.3,-8.0
Masen Wray,NO,22,,2006.0,6.04,185,C,Owen Sound Attack,38,8,6,14,0.37,-4,1,0,1,0,28,1,7.1,-7.0
Rafik Varosyan,YES,18,,2007.0,6.00,179,LW,Owen Sound Attack,39,4,7,11,0.28,-8,0,0,1,0,33,0,0.0,-22.5
Elliot Arnett,YES,4,,2008.0,6.01,189,LD,Owen Sound Attack,43,0,7,7,0.16,-9,0,0,0,0,26,0,0.0,-24.5
David Bedkowski,NO,25,,2006.0,6.05,215,RD,Owen Sound Attack,29,2,4,6,0.21,-7,0,1,0,0,57,1,16.7,-54.0
Alec Leonard,NO,19,,2004.0,5.11,174,RD,Owen Sound Attack,23,1,4,5,0.22,-3,0,1,1,0,22,1,20.0,-17.0
Max Bleicher,YES,11,,2007.0,5.10,189,LD,Owen Sound Attack,41,1,4,5,0.12,-8,0,0,0,0,20,0,0.0,-20.0
Ethan Kindree,YES,9,,2008.0,5.09,165,RW,Owen Sound Attack,33,1,3,4,0.12,-13,0,0,0,0,6,0,0.0,-12.5
Easton Mikus,YES,13,,2007.0,6.00,183,C,Owen Sound Attack,29,1,2,3,0.1,-8,0,0,0,0,11,0,0.0,-14.0
Gabriel Smith,YES,5,,2007.0,6.03,198,LD,Owen Sound Attack,42,1,1,2,0.05,1,0,0,0,0,16,0,0.0,-11.5
