Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Michael Misa,NO,77,,2007.0,6.01,185,C,Saginaw Spirit,43,40,46,86,2.0,32,11,17,6,1,31,28,32.6,150.0
Zayne Parekh,NO,19,,2006.0,6.00,185,RD,Saginaw Spirit,41,23,42,65,1.59,25,7,20,3,0,61,27,41.5,73.0
Kristian Epperson,NO,86,,2006.0,6.00,185,LW,Saginaw Spirit,39,18,36,54,1.38,36,4,10,2,1,66,14,25.9,60.0
Calem Mangone,NO,7,,2004.0,5.09,165,RW,Saginaw Spirit,43,18,31,49,1.14,16,3,12,1,1,38,15,30.6,60.5
Jacob Cloutier,YES,42,,2007.0,5.10,170,RW,Saginaw Spirit,46,16,20,36,0.78,9,5,1,0,1,35,6,16.7,36.0
Carson Harmer,YES,13,,2007.0,5.10,185,C,Saginaw Spirit,46,17,18,35,0.76,8,5,3,2,1,15,8,22.9,54.0
Dimian Zhilkin,YES,71,,2008.0,5.09,160,RW,Saginaw Spirit,32,7,18,25,0.78,1,1,5,0,0,26,6,24.0,16.0
Nic Sima,NO,92,,2005.0,6.03,195,RW,Saginaw Spirit,41,12,12,24,0.59,-14,3,6,2,1,71,9,37.5,-43.0
Sebastien Gervais,NO,15,,2005.0,6.01,190,C,Saginaw Spirit,37,4,18,22,0.59,-7,0,4,1,0,14,4,18.2,14.0
James Guo,NO,73,,2005.0,6.01,195,RD,Saginaw Spirit,42,4,18,22,0.52,13,0,2,1,0,25,2,9.1,23.0
Kaeden Johnston,NO,20,,2005.0,6.01,175,RW,Saginaw Spirit,43,5,13,18,0.42,-16,0,0,0,0,22,0,0.0,-8.5
PJ Forgione,NO,27,,2004.0,6.02,215,LD,Saginaw Spirit,46,2,12,14,0.3,19,0,0,1,0,44,0,0.0,-3.0
Josh Glavin,NO,5,,2006.0,6.02,200,LD,Saginaw Spirit,46,0,12,12,0.26,-9,0,0,0,0,78,0,0.0,-69.0
Graydon Jones,YES,9,,2007.0,6.00,175,LD,Saginaw Spirit,44,3,7,10,0.23,-2,0,0,0,0,28,0,0.0,-13.5
Liam Storch,NO,21,,2006.0,5.10,150,RW,Saginaw Spirit,46,3,5,8,0.17,-8,0,0,1,0,4,0,0.0,1.5
Brody Najim,YES,8,,2008.0,5.10,145,LW,Saginaw Spirit,38,2,3,5,0.13,-5,0,0,0,0,8,0,0.0,-4.5
Ethan Weir,NO,37,,2007.0,5.11,195,RW,Saginaw Spirit,25,1,4,5,0.2,-6,0,1,0,0,0,1,20.0,2.0
Xander Velliaris,NO,17,,2007.0,6.03,205,LD,Saginaw Spirit,31,1,4,5,0.16,-8,0,0,0,0,25,0,0.0,-25.0
Igor Chernyshov,NO,25,,2005.0,6.03,225,RW,Saginaw Spirit,2,3,1,4,2.0,0,0,1,0,0,0,1,25.0,7.5
Kaden Sienko,YES,23,,2008.0,6.01,185,RD,Saginaw Spirit,16,0,3,3,0.19,4,0,0,0,0,8,0,0.0,0.5
Hayden Barch,YES,6,,2007.0,6.01,190,RD,Saginaw Spirit,8,1,0,1,0.13,-4,0,0,0,0,4,0,0.0,-6.0
