Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Zach Filak,NO,11,,2004.0,6.01,185,C,Sarnia Sting,46,11,23,34,0.74,1,3,3,0,1,51,6,17.6,6.5
Ryan Brown,NO,23,,2007.0,5.11,172,LW,Sarnia Sting,46,13,18,31,0.67,10,0,3,2,2,19,3,9.7,44.0
Mitch Young,NO,5,,2005.0,6.02,190,D,Sarnia Sting,38,5,26,31,0.82,6,1,7,1,0,60,8,25.8,-5.0
Easton Wainwright,NO,12,,2005.0,5.10,190,C,Sarnia Sting,43,11,19,30,0.7,4,2,3,3,0,38,5,16.7,16.5
Tyson Doucette,NO,25,,2004.0,6.00,181,LW,Sarnia Sting,43,17,11,28,0.65,-12,5,6,0,0,17,11,39.3,21.5
Beckham Edwards,YES,81,,2008.0,6.01,170,C,Sarnia Sting,40,16,12,28,0.7,-6,6,3,1,0,0,9,32.1,44.0
Alessandro Di Iorio,YES,17,,2008.0,6.01,175,C,Sarnia Sting,36,7,17,24,0.67,-11,2,8,1,0,6,10,41.7,22.5
Lukas Fischer,NO,13,,2006.0,6.03,184,D,Sarnia Sting,29,10,13,23,0.79,-4,3,4,2,0,45,7,30.4,-9.5
Ruslan Karimov,YES,19,,2007.0,6.00,200,LW,Sarnia Sting,44,10,10,20,0.45,-4,1,3,1,0,42,4,20.0,-11.0
Liam Beamish,YES,40,,2007.0,5.11,179,C,Sarnia Sting,21,7,11,18,0.86,15,0,1,0,0,12,1,5.6,33.5
Carter Kostuch,NO,18,,2007.0,5.11,165,LW,Sarnia Sting,30,4,8,12,0.4,-5,0,0,0,0,18,0,0.0,-3.0
Hughston Hurt,NO,72,,2007.0,6.01,178,D,Sarnia Sting,46,3,8,11,0.24,-6,0,0,0,0,29,0,0.0,-17.0
Daylen Moses,NO,24,,2005.0,6.02,180,C,Sarnia Sting,38,6,3,9,0.24,-7,0,0,1,1,35,0,0.0,-25.5
James Barr,NO,16,,2007.0,6.01,182,D,Sarnia Sting,37,1,6,7,0.19,-9,0,1,0,0,26,1,14.3,-24.0
Casey Bridgewater,YES,43,,2007.0,5.10,175,D,Sarnia Sting,41,2,4,6,0.15,1,0,0,1,0,6,0,0.0,5.0
Jack Bodin,NO,9,,2006.0,6.02,220,D,Sarnia Sting,37,0,6,6,0.16,-30,0,0,0,0,32,0,0.0,-53.0
Dylan Luecke,YES,8,,2007.0,6.02,170,RW,Sarnia Sting,26,3,2,5,0.19,-6,0,0,1,1,34,0,0.0,-31.0
Matthew Manza,YES,55,,2007.0,6.00,178,RW,Sarnia Sting,4,2,2,4,1.0,5,0,0,0,0,4,0,0.0,8.0
Jack O'Brien,NO,6,,2005.0,6.02,205,D,Sarnia Sting,18,2,2,4,0.22,1,0,0,0,0,10,0,0.0,-2.0
Nathan Omeri,NO,27,,2006.0,5.11,175,D,Sarnia Sting,29,1,1,2,0.07,1,0,1,1,0,12,1,50.0,-7.5
JJ Franceschetti,NO,15,,2005.0,5.09,185,LW,Sarnia Sting,23,0,1,1,0.04,-6,0,0,0,0,34,0,0.0,-38.5
Ryan Chamberlain,YES,22,,2008.0,6.02,175,LW,Sarnia Sting,15,0,0,0,0.0,-4,0,0,0,0,4,0,,-8.0
Carson Hall,NO,10,,2006.0,6.02,190,LW,Sarnia Sting,16,0,0,0,0.0,-8,0,0,0,0,13,0,,-21.0
