Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Marco Mignosa,NO,26,,2005.0,5.11,170,RW,Soo Greyhounds,37,19,27,46,1.24,-5,2,14,2,0,13,16,34.8,60.5
Justin Cloutier,NO,24,,2005.0,5.09,186,RW,Soo Greyhounds,47,23,17,40,0.85,3,5,6,1,2,55,11,27.5,19.5
Brady Martin,NO,44,,2007.0,6.00,174,C,Soo Greyhounds,37,19,20,39,1.05,14,7,3,1,1,48,10,25.6,34.0
Noel Nordh,NO,43,,2005.0,6.02,198,LW,Soo Greyhounds,26,11,18,29,1.12,-3,5,8,1,0,6,13,44.8,40.0
Travis Hayes,NO,13,,2007.0,5.11,169,RW,Soo Greyhounds,44,12,13,25,0.57,-1,1,2,0,0,41,3,12.0,1.5
Chase Reid,YES,25,,2007.0,6.02,185,D,Soo Greyhounds,19,2,22,24,1.26,7,1,8,0,0,20,9,37.5,24.0
Owen Allard,NO,14,,2004.0,6.02,200,C,Soo Greyhounds,23,12,11,23,1.0,-6,7,2,3,1,0,9,39.1,34.5
Brady R Smith,YES,12,,2007.0,5.11.,173,LW,Soo Greyhounds,36,5,11,16,0.44,-19,1,1,1,0,10,2,12.5,-2.5
Caeden Carlisle,NO,7,,2004.0,6.01.,197,D,Soo Greyhounds,45,1,13,14,0.31,-13,0,4,0,0,56,4,28.6,-47.5
Jordan Charron,YES,27,,2007.0,6.02,190,RW,Soo Greyhounds,27,7,5,12,0.44,-16,0,0,1,0,23,0,0.0,-17.5
Brady T Smith,YES,11,,2008.0,6.00,181,RW,Soo Greyhounds,45,5,7,12,0.27,-8,2,3,1,0,18,5,41.7,-5.5
Carson Andrew,YES,71,,2008.0,6.01,184,RW,Soo Greyhounds,47,5,7,12,0.26,-18,0,1,1,0,8,1,8.3,-5.5
Brodie McConnell-Barker,NO,8,,2006.0,5.11.,185,D,Soo Greyhounds,35,2,10,12,0.34,-7,0,2,2,0,18,2,16.7,-6.0
Hunter Solomon,YES,17,,2007.0,6.00.,180,D,Soo Greyhounds,47,2,8,10,0.21,-17,0,0,0,0,21,0,0.0,-22.0
Spencer Evans,NO,16,,2006.0,6.00,189,D,Soo Greyhounds,32,1,8,9,0.28,-6,0,1,0,0,34,1,11.1,-26.0
Charlie Hilton,NO,20,,2006.0,6.05,212,LW,Soo Greyhounds,40,2,5,7,0.18,-10,0,1,0,0,47,1,14.3,-45.5
Erik Muxlow,YES,22,,2007.0,5.10.,183,LW,Soo Greyhounds,43,1,6,7,0.16,-15,0,0,0,0,6,0,0.0,-10.0
David Holub,YES,23,,2007.0,5.09,180,D,Soo Greyhounds,40,3,3,6,0.15,-12,0,0,0,0,14,0,0.0,-15.5
Keegan Gillen,YES,3,,2007.0,5.10.,180,D,Soo Greyhounds,39,0,6,6,0.15,-6,0,0,0,0,13,0,0.0,-10.0
Christopher Brown,NO,67,,2006.0,5.11.,180,C,Soo Greyhounds,20,2,3,5,0.25,-2,0,1,1,0,6,1,20.0,0.5
Tate Vader,NO,9,,2006.0,5.11,190,C,Soo Greyhounds,42,1,0,1,0.02,-17,0,0,0,0,20,0,0.0,-35.0
Brayden Velliaris,NO,18,,2005.0,6.04,220,D,Soo Greyhounds,32,0,1,1,0.03,-7,0,0,0,0,41,0,0.0,-46.5
