Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Kieron Walton,NO,22,,2006.0,6.06,216,LW,Sudbury Wolves,44,27,43,70,1.59,4,11,21,6,1,30,32,45.7,92.5
Henry Mews,NO,88,,2006.0,6.01,183,D,Sudbury Wolves,45,12,48,60,1.33,-10,5,27,1,0,54,32,53.3,32.0
Kocha Delic,NO,13,,2004.0,5.11,198,C,Sudbury Wolves,42,20,30,50,1.19,-7,5,16,3,1,56,21,42.0,22.0
Alex Pharand,NO,21,,2005.0,6.03,192,RW,Sudbury Wolves,42,15,28,43,1.02,-1,7,7,1,2,27,14,32.6,44.0
Nathan Villeneuve,NO,89,,2006.0,6.00,195,C,Sudbury Wolves,36,20,18,38,1.06,-3,8,2,2,1,80,10,26.3,-16.0
Chase Coughlan,NO,9,,2005.0,5.11,194,RW,Sudbury Wolves,41,16,12,28,0.68,1,3,6,1,1,71,9,32.1,-20.0
Quentin Musty,NO,27,,2005.0,6.02,200,LW,Sudbury Wolves,17,13,15,28,1.65,-4,4,4,0,1,6,8,28.6,38.5
Nick DeAngelis,NO,95,,2004.0,6.02,188,D,Sudbury Wolves,44,5,23,28,0.64,-2,3,15,0,1,32,18,64.3,10.5
Donovan McCoy,NO,19,,2004.0,6.01,205,D,Sudbury Wolves,36,4,14,18,0.5,-2,1,7,1,0,36,8,44.4,-9.0
Ondrej Molnar,NO,96,,2005.0,5.10,175,LW,Sudbury Wolves,26,7,9,16,0.62,-8,1,4,0,0,12,5,31.2,7.5
Rowan Henderson,YES,77,,2007.0,5.10,178,LW,Sudbury Wolves,44,6,9,15,0.34,-1,0,0,1,1,27,0,0.0,-2.5
Noah Roberts,NO,12,,2005.0,6.01,195,D,Sudbury Wolves,44,4,11,15,0.34,-11,0,0,0,1,88,0,0.0,-74.5
Hudson Chitaroni,YES,91,,2007.0,5.10,178,C,Sudbury Wolves,44,5,8,13,0.3,-8,2,2,4,0,22,4,30.8,-8.0
Lucas Di Giantommaso,NO,92,,2005.0,6.00,178,RW,Sudbury Wolves,36,6,5,11,0.31,-8,1,1,0,0,11,2,18.2,0.5
Blake Clayton,YES,24,,2007.0,6.00,165,C,Sudbury Wolves,33,5,5,10,0.3,4,0,0,2,1,43,0,0.0,-21.5
Gavin Ewles,NO,7,,2005.0,6.01,188,D,Sudbury Wolves,43,1,9,10,0.23,4,0,0,0,0,20,0,0.0,-0.5
Luca Blonda,YES,93,,2008.0,5.11,173,D,Sudbury Wolves,43,5,4,9,0.21,-9,1,1,1,0,29,2,22.2,-22.0
Ethan Dean,YES,11,,2008.0,5.10,166,C,Sudbury Wolves,40,2,3,5,0.13,-11,0,0,0,0,14,0,0.0,-16.5
Braydon Bruce,NO,20,,2006.0,6.05,212,D,Sudbury Wolves,17,0,4,4,0.24,2,0,0,0,0,6,0,0.0,2.0
Tayjon Street,NO,73,,2005.0,6.01,205,LW,Sudbury Wolves,41,1,1,2,0.05,-10,0,1,0,0,63,1,50.0,-69.5
Jack Ziliotto,NO,16,,2005.0,6.02,185,RW,Sudbury Wolves,4,0,1,1,0.25,0,0,0,0,0,0,0,0.0,1.5
Trevor O’Dell,NO,4,,2006.0,6.03,172,D,Sudbury Wolves,35,0,1,1,0.03,-7,0,0,0,0,17,0,0.0,-22.5
