Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Liam Greentree,NO,66,,2006.0,6.03,216,LW,Windsor Spitfires,46,33,46,79,1.72,36,8,16,5,7,34,24,30.4,137.0
Ilya Protas,NO,37,,2006.0,6.05,200,C,Windsor Spitfires,42,32,43,75,1.79,35,9,14,5,1,22,23,30.7,141.5
Noah Morneau,NO,11,,2004.0,6.00,182,C,Windsor Spitfires,47,15,30,45,0.96,12,5,11,4,0,13,16,35.6,74.0
Jack Nesbitt,NO,71,,2007.0,6.04,182,C,Windsor Spitfires,47,17,26,43,0.91,9,3,8,4,2,45,11,25.6,37.0
Ryan Abraham,NO,12,,2004.0,5.08,168,C,Windsor Spitfires,46,16,27,43,0.93,7,5,7,1,1,32,12,27.9,47.5
Anthony Cristoforo,NO,44,,2006.0,6.00,180,D,Windsor Spitfires,46,11,24,35,0.76,36,6,9,3,1,35,15,42.9,59.0
Cole Davis,NO,78,,2006.0,5.10,184,LW,Windsor Spitfires,38,16,17,33,0.87,13,2,3,2,2,28,5,15.2,42.5
Ethan Belchetz,YES,61,,2008.0,6.05,226,LW,Windsor Spitfires,38,13,17,30,0.79,-2,4,4,1,0,23,8,26.7,26.5
AJ Spellacy,NO,8,,2006.0,6.03,204,C,Windsor Spitfires,43,12,14,26,0.6,3,3,2,1,2,48,5,19.2,0.0
Luke McNamara,NO,29,,2005.0,6.03,182,C,Windsor Spitfires,44,8,14,22,0.5,12,2,1,0,0,42,3,13.6,7.0
Carson Woodall,NO,24,,2006.0,5.11,183,D,Windsor Spitfires,46,3,19,22,0.48,-7,0,12,0,0,14,12,54.5,13.5
Tnias Mathurin,NO,74,,2004.0,6.03,200,D,Windsor Spitfires,39,6,12,18,0.46,24,0,0,1,0,18,0,0.0,36.0
Jean-Christoph Lemieux,YES,22,,2008.0,5.11,176,C,Windsor Spitfires,34,7,9,16,0.47,7,0,0,0,0,11,0,0.0,23.5
Owen Outwater,NO,93,,2005.0,6.02,187,LW,Windsor Spitfires,26,5,9,14,0.54,-4,1,3,1,0,6,4,28.6,13.5
Wyatt Kennedy,NO,2,,2005.0,6.05,202,D,Windsor Spitfires,44,1,11,12,0.27,-15,0,4,0,0,44,4,33.3,-40.5
Ethan Garden,YES,77,,2008.0,5.08,166,LW,Windsor Spitfires,38,3,7,10,0.26,-5,0,0,1,0,12,0,0.0,-0.5
Conor Walton,NO,28,,2006.0,6.05,204,D,Windsor Spitfires,46,2,8,10,0.22,16,0,0,2,0,46,0,0.0,-14.0
Josef Eichler,NO,5,,2005.0,6.00,194,D,Windsor Spitfires,43,2,7,9,0.21,9,0,0,1,0,56,0,0.0,-32.5
Nathan Gaymes,NO,19,,2006.0,5.11,177,RW,Windsor Spitfires,35,3,5,8,0.23,-3,0,0,0,0,49,0,0.0,-38.5
Carter Hicks,YES,58,,2008.0,6.01,166,D,Windsor Spitfires,33,1,7,8,0.24,8,0,0,0,0,12,0,0.0,8.5
Shawn Costello,YES,10,,2007.0,6.02,188,C,Windsor Spitfires,27,0,3,3,0.11,-2,0,0,0,0,12,0,0.0,-9.5
Tanner Winegard,NO,91,,2005.0,6.06,226,D,Windsor Spitfires,25,1,1,2,0.08,2,0,0,0,0,23,0,0.0,-17.5
