Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,GWG,ENG,PIM,PPP,PPP_Percentage,RNK
Michael Misa,NO,77,,2007.0,6.01,185,C,Saginaw Spirit,41,39,44,83,2.02,33,10,17,6,1,31,27,32.5,146.0
Liam Greentree,NO,66,,2006.0,6.03,216,LW,Windsor Spitfires,45,33,46,79,1.76,37,8,16,5,7,30,24,30.4,142.0
Ilya Protas,NO,37,,2006.0,6.05,200,C,Windsor Spitfires,41,32,42,74,1.8,36,9,13,5,1,20,22,29.7,143.0
Nick Lardis,NO,16,,2005.0,5.11,185,RW,Brantford Bulldogs,44,41,31,72,1.64,9,14,13,7,5,16,27,37.5,121.5
Kieron Walton,NO,22,,2006.0,6.06,216,LW,Sudbury Wolves,44,27,43,70,1.59,4,11,21,6,1,30,32,45.7,92.5
Ryan Roobroeck,NO,25,,2007.0,6.04,190,LW,Niagara IceDogs,46,32,36,68,1.48,0,9,11,4,4,8,20,29.4,110.0
Beckett Sennecke,NO,45,,2006.0,6.04,195,RW,Oshawa Generals,39,29,39,68,1.74,16,10,18,2,0,38,28,41.2,94.5
Patrick Thomas,NO,93,,2004.0,6.00,178,C,Brantford Bulldogs,46,20,47,67,1.46,7,9,16,6,1,6,25,37.3,111.5
Cedrick Guindon,NO,93,,2004.0,5.10,182,C,Kingston Frontenacs,44,27,37,64,1.45,18,10,9,0,2,4,19,29.7,123.5
Porter Martone,NO,94,,2006.0,6.03,208,RW,Brampton Steelheads,35,22,41,63,1.8,12,3,12,2,0,53,15,23.8,64.5
Jacob Battaglia,NO,88,,2006.0,6.01,202,LW,Kingston Frontenacs,44,27,35,62,1.41,4,9,11,2,2,22,20,32.3,88.5
Jake O'Brien,NO,44,,2007.0,6.02,170,C,Brantford Bulldogs,46,25,36,61,1.33,-13,8,21,2,1,10,29,47.5,81.0
Tuomas Uronen,NO,8,,2005.0,6.00,194,RW,Kingston Frontenacs,39,25,35,60,1.54,17,8,16,4,1,19,24,40.0,100.5
Henry Mews,NO,88,,2006.0,6.01,183,D,Sudbury Wolves,45,12,48,60,1.33,-10,5,27,1,0,54,32,53.3,32.0
Luke Misa,NO,33,,2005.0,5.10,176,C,Brampton Steelheads,44,25,34,59,1.34,25,4,5,3,1,2,9,15.3,124.0
Zayne Parekh,NO,19,,2006.0,6.00,185,RD,Saginaw Spirit,39,21,38,59,1.51,24,7,19,3,0,61,26,44.1,62.0
Sam Dickinson,NO,3,,2006.0,6.03,210,D,London Knights,34,20,38,58,1.71,34,10,11,4,0,18,21,36.2,113.0
Denver Barkey,NO,86,,2005.0,5.10,171,LW,London Knights,37,16,42,58,1.57,32,7,17,0,1,16,24,41.4,111.0
Carson Rehkopf,NO,16,,2005.0,6.02,202,RW,Brampton Steelheads,35,27,30,57,1.63,16,6,7,0,3,18,13,22.8,97.0
Luca Marrelli,NO,19,,2005.0,6.02,185,D,Oshawa Generals,46,16,41,57,1.24,17,4,20,4,0,17,24,42.1,93.5
Pano Fimis,NO,98,,2004.0,5.11,183,C,Erie Otters,44,19,37,56,1.27,18,3,14,2,1,24,17,30.4,87.5
Sam Alfano,NO,33,,2004.0,6.04,204,RW,Erie Otters,44,28,27,55,1.25,13,8,3,2,1,39,11,20.0,70.5
Kevin He,NO,11,,2006.0,6.00,180,LW,Niagara IceDogs,43,26,29,55,1.28,6,6,8,3,1,20,14,25.5,81.5
Kristian Epperson,NO,86,,2006.0,6.00,185,LW,Saginaw Spirit,39,18,36,54,1.38,35,4,10,2,1,66,14,25.9,59.0
Andrei Loshko,NO,27,,2004.0,6.02,184,C,Niagara IceDogs,46,28,25,53,1.15,0,13,6,4,3,19,19,35.8,74.5
Kocha Delic,NO,13,,2004.0,5.11,198,C,Sudbury Wolves,42,20,30,50,1.19,-7,5,16,3,1,56,21,42.0,22.0
Malcolm Spence,NO,17,,2006.0,6.02,201,LW,Erie Otters,42,19,29,48,1.14,13,4,5,5,1,28,9,18.8,66.5
